1 0 1626
2 1626 2823
3 4449 950
4 5399 1127
5 6526 15580
6 22106 6435
7 28541 13966
8 42507 739
9 43246 2772
10 46018 2055
11 48073 2612
12 50685 2788
13 53473 1781
14 55254 20067
15 75321 3575
16 78896 3557
17 82453 3398
18 85851 2106
19 87957 3365
20 91322 2550
21 93872 2912
22 96784 13933
23 110717 4111
24 114828 2763
25 117591 932
26 118523 20153
27 138676 3849
28 142525 28639
29 171164 4217
30 175381 7404
31 182785 9334
32 192119 30315
33 222434 19686
34 242120 619
35 242739 2327
36 245066 1617
37 246683 4968
38 251651 3318
39 254969 2503
40 257472 4594
41 262066 1147
42 263213 2006
43 265219 672
44 265891 424
45 266315 9922
46 276237 2303
47 278540 856
48 279396 30455
49 309851 3545
50 313396 934
51 314330 2588
52 316918 3126
53 320044 333
54 320377 7217
55 327594 19034
56 346628 5705
57 352333 1305
58 353638 2182
59 355820 2350
60 358170 2611
61 360781 2553
62 363334 1247
63 364581 9002
64 373583 3650
65 377233 2148
66 379381 2361
67 381742 22098
68 403840 855
69 404695 398
70 405093 3847
71 408940 1138
72 410078 3541
73 413619 3253
74 416872 1349
75 418221 2019
76 420240 2160
77 422400 1286
78 423686 1316
79 425002 3898
80 428900 555
81 429455 6473
82 435928 2577
83 438505 3675
84 442180 823
85 443003 1274
86 444277 2420
87 446697 692
88 447389 5020
89 452409 5326
90 457735 1320
91 459055 14612
92 473667 1112
93 474779 1333
94 476112 5251
95 481363 2518
96 483881 3105
97 486986 6890
98 493876 6222
99 500098 9220
100 509318 11714
101 521032 2090
102 523122 6519
103 529641 10047
104 539688 7725
105 547413 206
106 547619 242
107 547861 267
108 548128 194
109 548322 228
110 548550 206
111 548756 251
112 549007 5995
113 555002 1240
114 556242 4952
115 561194 9999
116 571193 3054
117 574247 2007
118 576254 2334
119 578588 1431
120 580019 1576
121 581595 3472
122 585067 15290
123 600357 7985
124 608342 3441
125 611783 6167
126 617950 2567
127 620517 3701
128 624218 2772
129 626990 9378
130 636368 1395
131 637763 192
132 637955 1943
133 639898 4988
